clustername,bootstrap,leafname,branchPath,medianOfDistances,sequencesperCluster
9927,0.9999,'a/chicken/indonesia/bandung1631-49/2006_CLADE2_1_3',0.06656047579958921,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc287e/2005_CLADE2_1_3',0.061255447732208805,0.01455145374032106,97
9927,0.9999,'a/chicken/indonesia/cdc25/2005_CLADE2_1_3',0.05727568941684821,0.01455145374032106,97
9927,0.9999,'a/chicken/indonesia/wates1/2005_CLADE2_1_3',0.05460405367171471,0.01455145374032106,97
9927,0.9999,'a/chicken/indonesia/garut1631-51/2006_CLADE2_1_3',0.06593953937854886,0.01455145374032106,97
9927,0.9999,'a/chicken/papua/ta5/2006_CLADE2_1_3',0.060600846375732736,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc634p/2006_CLADE2_1_3',0.06059814508311871,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc1046/2007_CLADE2_1_3',0.07323489262913875,0.01455145374032106,97
9927,0.9999,'a/chicken/purworejo/bbvw/2005_CLADE2_1_3',0.05469176105763221,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc644t/2006_CLADE2_1_3',0.0619153290355207,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc292n/2005_CLADE2_1_3',0.05928303435827837,0.01455145374032106,97
9927,0.9999,'a/chicken/west_java/pwt-wij/2006_CLADE2_1_3',0.07344326597876606,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc623/2006_CLADE2_1_3',0.06656300958412603,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc523e/2006_CLADE2_1_3',0.06257471576123053,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc194p/2005_CLADE2_1_3',0.060610192906502304,0.01455145374032106,97
9927,0.9999,'a/quail/jakarta/ju1/2006_CLADE2_1_3',0.06325450947303372,0.01455145374032106,97
9927,0.9999,'a/chicken/west_java/tasiksol/2006_CLADE2_1_3',0.06125862761551507,0.01455145374032106,97
9927,0.9999,'a/indonesia/tll004/2006_CLADE2_1_3',0.06389433573151937,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc523/2006_CLADE2_1_3',0.06191815260744256,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc1046t/2007_CLADE2_1_3',0.07257774289894016,0.01455145374032106,97
9927,0.9999,'a/indonesia/292h/2006_CLADE2_1_3',0.0625766176193429,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc1032n/2007_CLADE2_1_3',0.07124060064176257,0.01455145374032106,97
9927,0.9999,'a/chicken/west_java/smi-cslk-eb/2006_CLADE2_1_3',0.07410208317953536,0.01455145374032106,97
9927,0.9999,'a/muscovy_duck/jakarta/habwin/2006_CLADE2_1_3',0.0632403861179277,0.01455145374032106,97
9927,0.9999,'a/chicken/indonesia/agam1631-3/2006_CLADE2_1_3',0.06457213402368005,0.01455145374032106,97
9927,0.9999,'a/chicken/west_java/smi-endri2/2006_CLADE2_1_3',0.0699878073605304,0.01455145374032106,97
9927,0.9999,'a/muscovy_duck/indonesia/kedri1631-24/20_CLADE2_1_3',0.06391490614804862,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc624e/2006_CLADE2_1_3',0.06193358431393844,0.01455145374032106,97
9927,0.9999,'a/quail/boyolali/bppv4/2004_CLADE2_1_3',0.04605472068464131,0.01455145374032106,97
9927,0.9999,'a/feline/indonesia/cdc1/2006_CLADE2_1_3',0.06257289325806317,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc610/2006_CLADE2_1_3',0.061257858287447293,0.01455145374032106,97
9927,0.9999,'a/chicken/palembang/bppv-iii/2005_CLADE2_1_3',0.059911945810964484,0.01455145374032106,97
9927,0.9999,'a/indonesia/304h/2006_CLADE2_1_3',0.06191634831831611,0.01455145374032106,97
9927,0.9999,'a/indonesia/239h/2005_CLADE2_1_3',0.061255447732208805,0.01455145374032106,97
9927,0.9999,'a/duck/parepare/bbvm/2005_CLADE2_1_3',0.054612755193676484,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc326/2006_CLADE2_1_3',0.06257560732597031,0.01455145374032106,97
9927,0.9999,'a/chicken/pakun_baru/bppv-ii/2005_CLADE2_1_3',0.05994344236276505,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc326n/2006_CLADE2_1_3',0.06257588696358037,0.01455145374032106,97
9927,0.9999,'a/indonesia/604h/2006_CLADE2_1_3',0.0639193484635482,0.01455145374032106,97
9927,0.9999,'a/chicken/indonesia/lampung1631-23/2006_CLADE2_1_3',0.06258701970886701,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc699/2006_CLADE2_1_3',0.06457560920684116,0.01455145374032106,97
9927,0.9999,'a/indonesia/cdc742/2006_CLADE2_1_3',0.06257346073059569,0.01455145374032106,97
9927,0.9999,'a/indonesia/298h/2006_CLADE2_1_3',0.06326263081406025,0.01455145374032106,97
9927,0.9999,'a/chicken/sembawa/bppv-iii/2005_CLADE2_1_3',0.05793518221669209,0.01455145374032106,97
9927,0.9999,'a/indonesia/341h/2006_CLADE2_1_3',0.06458080978867506,0.01455145374032106,97
9927,0.9999,'a/indonesia/7/2005_CLADE2_1_3',0.06193742683505801,0.01455145374032106,97
9927,0.9999,'a/indonesia/245h/2005_CLADE2_1_3',0.05928303435827837,0.01455145374032106,97
9927,0.9999,'a/indonesia/195h/2005_CLADE2_1_3',0.06063223533530877,0.01455145374032106,97
10120,0.9999,'a/chicken/salatiga/bbvet-i/2005_CLADE2_1_2',0.05133453399728423,0.016633304938013224,41
10120,0.9999,'a/chicken/medan/bbpv1-576/2005_CLADE2_1_2',0.05795137809471878,0.016633304938013224,41
10120,0.9999,'a/chicken/deli_serdang/bppv1/2005_CLADE2_1_2',0.05861698454801607,0.016633304938013224,41
10120,0.9999,'a/chicken/medan/bbpv1-571/2005_CLADE2_1_2',0.05795938274194388,0.016633304938013224,41
10120,0.9999,'a/quail/central_java/smrg/2006_CLADE2_1_3',0.06371023262164084,0.016633304938013224,41
10120,0.9999,'a/chicken/agam/bbpvi/2005_CLADE2_1_2',0.056626186838916195,0.016633304938013224,41
10120,0.9999,'a/chicken/deli_derdang/bbpvi/2005_CLADE2_1_2',0.05662422126996159,0.016633304938013224,41
10120,0.9999,'a/chicken/pidie/bppv1/2005_CLADE2_1_2',0.05596805356888871,0.016633304938013224,41
10120,0.9999,'a/chicken/rokan_hilli/bppv-ii/2005_CLADE2_1_2',0.05596748920793021,0.016633304938013224,41
10120,0.9999,'a/chicken/indonesia/soppeng1631-71/2007_CLADE2_1_3',0.06363711527589536,0.016633304938013224,41
10120,0.9999,'a/chicken/siak/bppv-ii/2005_CLADE2_1_2',0.05662017039776081,0.016633304938013224,41
10120,0.9999,'a/chicken/indonesia/magelang1631-57/2007_CLADE2_1_3',0.06758657943501523,0.016633304938013224,41
10120,0.9999,'a/indonesia/6/2005_CLADE2_1_3',0.05890400688577697,0.016633304938013224,41
10120,0.9999,'a/chicken/indonesia/wates83/2005_CLADE2_1_2',0.05131173130400989,0.016633304938013224,41
10120,0.9999,'a/chicken/langkat/bbpv1-576/2005_CLADE2_1_2',0.058616221722092424,0.016633304938013224,41
10120,0.9999,'a/chicken/indonesia/kulon1631-47/2006_CLADE2_1_3',0.06490655931239178,0.016633304938013224,41
10120,0.9999,'a/chicken/salam/bbpv-ii/2005_CLADE2_1_2',0.05596648920743018,0.016633304938013224,41
10120,0.9999,'a/indonesia/cdc595/2006_CLADE2_1_2',0.06733429382729343,0.016633304938013224,41
10120,0.9999,'a/chicken/pulau_rampang/bbpvii/2006_CLADE2_1_2',0.055308574153277335,0.016633304938013224,41
10120,0.9999,'a/chicken/taput/bbpv1-576/2005_CLADE2_1_2',0.05996484480184995,0.016633304938013224,41
10120,0.9999,'a/chicken/medan/bppv1-534/2005_CLADE2_1_2',0.05597208578291092,0.016633304938013224,41
10120,0.9999,'a/chicken/karo/bbpvii/2006_CLADE2_1_2',0.05731030329706789,0.016633304938013224,41
10120,0.9999,'a/chicken/madiun/bbvw1420/2005_CLADE2_1_3',0.06218890978598938,0.016633304938013224,41
10120,0.9999,'a/indonesia/cdc594/2006_CLADE2_1_2',0.0666787516007504,0.016633304938013224,41
10120,0.9999,'a/indonesia/534h/2006_CLADE2_1_2',0.06667975160125043,0.016633304938013224,41
10120,0.9999,'a/indonesia/560h/2006_CLADE2_1_2',0.06734486912315629,0.016633304938013224,41
10120,0.9999,'a/indonesia/cdc625/2006_CLADE2_1_2',0.06733442814912875,0.016633304938013224,41
10120,0.9999,'a/chicken/pangkalpinang/bppv3/2004_CLADE2_1_2',0.0491994333320528,0.016633304938013224,41
10120,0.9999,'a/chicken/deli_serdang/bppvi/2005_CLADE2_1_2',0.05465479283047192,0.016633304938013224,41
10120,0.9999,'a/chicken/dairi/bppvi/2005_CLADE2_1_2',0.053993905205636794,0.016633304938013224,41
10120,0.9999,'a/chicken/indonesia/wates77/2005_CLADE2_1_2',0.05532704890803642,0.016633304938013224,41
10120,0.9999,'a/chicken/medan/bppv1-498/2005_CLADE2_1_2',0.056628630944342534,0.016633304938013224,41
10120,0.9999,'a/chicken/tebing_tinggi/bppvi/2005_CLADE2_1_2',0.05531511073963189,0.016633304938013224,41
10120,0.9999,'a/chicken/duma/bbpv-ii/2005_CLADE2_1_2',0.059261424028070046,0.016633304938013224,41
10120,0.9999,'a/indonesia/535h/2006_CLADE2_1_2',0.06668075160175047,0.016633304938013224,41
10120,0.9999,'a/chicken/simalanggang/bppvi/2005_CLADE2_1_2',0.05794881700378682,0.016633304938013224,41
10120,0.9999,'a/chicken/padang/bbpvii/2006_CLADE2_1_2',0.05596748920793021,0.016633304938013224,41
10120,0.9999,'a/chicken/west_java/garut-may/2006_CLADE2_1_3',0.061657887550700126,0.016633304938013224,41
10120,0.9999,'a/duck/madiun/bbvw1358/2005_CLADE2_1_2',0.06799031393693991,0.016633304938013224,41
10120,0.9999,'a/chicken/gunung_kidul/bbvw/2006_CLADE2_1_3',0.0655469712681366,0.016633304938013224,41
10120,0.9999,'a/chicken/tarutung/bppvi/2005_CLADE2_1_2',0.05664102798056316,0.016633304938013224,41
10201,0.9999,'a/chicken/indonesia/wates80/2005_CLADE2_1_1',0.051342416458984526,0.01480578969533615,3
10201,0.9999,'a/chicken/kulon_progo/bbvet-xii-1/2004_CLADE2_1_1',0.051475003789772725,0.01480578969533615,3
10201,0.9999,'a/chicken/kupang-1-ntt/bppv6/2004_CLADE2_1_1',0.05004437199530419,0.01480578969533615,3
10206,0.9999,'a/chicken/bantul/bbvet-i/2005_CLADE2_1_1',0.04208246005586149,0.0026454446392969594,5
10206,0.9999,'a/chicken/jembrana/bppv6/2004_CLADE2_1_1',0.04208246005586149,0.0026454446392969594,5
10206,0.9999,'a/dk/indonesia/ms/2004_CLADE2_1_1',0.04539084570052575,0.0026454446392969594,5
10206,0.9999,'a/ck/indonesia/2a/2003_CLADE2_1_1',0.04340664896217681,0.0026454446392969594,5
10206,0.9999,'a/ck/indonesia/5/2004_CLADE2_1_1',0.041423832190370734,0.0026454446392969594,5
10221,0.9999,'a/chicken/ngawi/bppv4/2004_CLADE2_1_1',0.0434731509730785,0.003385454609370564,3
10221,0.9999,'a/chicken/sragen/bppv4/2003_CLADE2_1_1',0.044151655922756224,0.003385454609370564,3
10221,0.9999,'a/ck/indonesia/bl/2003_CLADE2_1_1',0.04076820131438572,0.003385454609370564,3
10226,0.9999,'a/ck/indonesia/4/2004_CLADE2_1_1',0.04411413516710793,0.004000620271970859,2
10226,0.9999,'a/ck/indonesia/pa/2003_CLADE2_1_1',0.04142865334046556,0.004000620271970859,2
10229,0.9999,'a/quail/tasikmalaya/bppv4/2004_CLADE2_1_1',0.046802289076641024,0.016254506374021024,4
10229,0.9999,'a/chicken/indonesia/7/2003_CLADE2_1_1',0.045397617508679405,0.016254506374021024,4
10229,0.9999,'a/chicken/indonesia/r60/05_CLADE2_1_1',0.054940386748071085,0.016254506374021024,4
10229,0.9999,'a/chicken/pekalongan/bppv4/2003_CLADE2_1_1',0.04279625925553302,0.016254506374021024,4
10236,0.9999,'a/chicken/west_java/hamd/2006_CLADE2_1_1',0.04675297721924565,0.0066888551638308175,3
10236,0.9999,'a/chicken/wonosobo/bppv4/2003_CLADE2_1_1',0.0441722157720461,0.0066888551638308175,3
10236,0.9999,'a/chicken/indonesia/11/2003_CLADE2_1_1',0.042734531243909864,0.0066888551638308175,3
10246,0.9999,'a/chicken/yunnan/207/2004_CLADE2_4',0.04408421726589693,0.006585865697465415,25
10246,0.9999,'a/duck/yunnan/6603/2003_CLADE2_4',0.04276896610410442,0.006585865697465415,25
10246,0.9999,'a/ck/yn/374/2004_CLADE2_4',0.04475207953618837,0.006585865697465415,25
10246,0.9999,'a/dk/yn/6255/2003_CLADE2_4',0.042769540668632956,0.006585865697465415,25
10246,0.9999,'a/duck/yunnan/4072/2003_CLADE2_4',0.03947351697128996,0.006585865697465415,25
10246,0.9999,'a/chicken/jiyuan/1/03_CLADE2_4',0.03879448345590377,0.006585865697465415,25
10246,0.9999,'a/duck/yunnan/5090/2003_CLADE2_4',0.03947303868997972,0.006585865697465415,25
10246,0.9999,'a/chicken/zhengzhou/1/02_CLADE2_4',0.03813652036992248,0.006585865697465415,25
10246,0.9999,'a/chicken/china/1204/04_CLADE2_4',0.0537996049900599,0.006585865697465415,25
10246,0.9999,'a/duck/yunnan/5169/2003_CLADE2_4',0.03881694545759786,0.006585865697465415,25
10246,0.9999,'a/dk/yn/6445/2003_CLADE2_4',0.04210954393184015,0.006585865697465415,25
10246,0.9999,'a/duck/guangxi/13/2004_CLADE2_4',0.05172482301127496,0.006585865697465415,25
10246,0.9999,'a/chicken/guangxi/12/2004_CLADE2_4',0.05106844256374694,0.006585865697465415,25
10246,0.9999,'a/chicken/yunnan/6885/2003_CLADE2_4',0.04276918652939846,0.006585865697465415,25
10246,0.9999,'a/duck/yunnan/6080/2003_CLADE2_4',0.0421115439328402,0.006585865697465415,25
10246,0.9999,'a/duck/yunnan/4645/2003_CLADE2_4',0.039475279265482076,0.006585865697465415,25
10246,0.9999,'a/chicken/yunnan/6957/2003_CLADE2_4',0.04342458546166244,0.006585865697465415,25
10246,0.9999,'a/duck/yunnan/522/2004_CLADE2_4',0.04540720847767892,0.006585865697465415,25
10246,0.9999,'a/chicken/yunnan/447/05_CLADE2_4',0.05129064491248173,0.006585865697465415,25
10246,0.9999,'a/ck/yn/115/2004_CLADE2_4',0.04408834436386063,0.006585865697465415,25
10246,0.9999,'a/duck/yunnan/485/2004_CLADE2_4',0.044740188049199145,0.006585865697465415,25
10246,0.9999,'a/duck/yunnan/426/2004_CLADE2_4',0.04475207953618837,0.006585865697465415,25
10246,0.9999,'a/chicken/yunnan/5686/2003_CLADE2_4',0.040789987099933776,0.006585865697465415,25
10246,0.9999,'a/duck/yunnan/5948/2003_CLADE2_4',0.03947304118956985,0.006585865697465415,25
10246,0.9999,'a/chicken/yunnan/6797/2003_CLADE2_4',0.042769540668632956,0.006585865697465415,25
10296,0.9999,'a/chicken/fujian/584/2006_CLADE2_3_4',0.06032518189234919,0.011385372908382999,117
10296,0.9999,'a/chicken/guiyang/29/2006_CLADE2_3_4',0.052330789919225,0.011385372908382999,117
10296,0.9999,'a/anhui/2/2005_CLADE2_3_4',0.05294816554686665,0.011385372908382999,117
10296,0.9999,'a/muscovy_duck/vietnam/49/2007_CLADE2_3_4',0.05827896667587646,0.011385372908382999,117
