cluster	nomenclature	taxon
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/zu3/2016_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/13vir-2962-198/2013_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/13vir-2962-200/2013_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/1461s/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/turkey/egypt/1419faos/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/1411cal/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/1422s/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/turkey/egypt/1414cal/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/1427af/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/turkey/egypt/1438s/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/dakahlia/2/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/turkey/egypt/bsu5114-ar2218/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/1460s/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/duck/egypt/3/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5/a/duck/egypt/assiut3/2015_h5_CLADE__2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/duck/egypt/14vir784-4-133ad/2013_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/1456cal/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/quail/egypt/bsu5514-ar2219/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/kafr_elsheikh/ut-151cad/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/a10351a/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/14168ca/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/turkey/egypt/ar238-sd177nlqp/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/1476ca/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/duck/egypt/vrlcu-helwan2/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/duck/cairo/1578ca/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/clevb-21_n00235/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/clevb-20_n00234/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/zu34/2016_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/clevb-19_n00233/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/clevb-17_n00231/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/clevb-16_n00230/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/qatanna/468/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/turkey/jenin/39/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/duck/egypt/vrlcu-giza2/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/egypt/moh-nrc-8434/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/zu46/2016_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/duck/egypt/vrlcu-giza3/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/zu47/2016_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/zu53/2016_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/zu103/2016_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/zu108/2016_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/d10658e/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/173cal/2017_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/ar234-faof8nlqp/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/duck/egypt/vrlcu-helwan1/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/duck/egypt/vrlcu-giza1/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/152rs/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/duck/egypt/2/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/ar231-ca113nlqp/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/sharkeya/14209ss/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/ismailia/144ca/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/zu29/2016_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/zu30/2016_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/zu28/2016_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/israel/333/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/qalqilya/53/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/q10574b/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/q10781b/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/zu118/2016_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/zu117/2016_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/zu116/2016_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/q10646a/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/f611/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/f611/egypt/2015_h5n1_CLADE_2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/d10551d/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/s10937b/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/d10551c/2015_CLADE2_2_1_2
