CLUSTER	TAXA	Sensitivity-induced (original cluster-node-id)	Sub-cluster subsumed into parent (original cluster-node-id)
922	'a/chicken/cambodia/w0530389/2012_CLADE1.1.2'		
501	'a/chicken/thailand/icrc-v586/2008_CLADE1'		
922	'a/chicken/vietnam/ncvd-ka42/2012_CLADE1.1.2'		
776	'a/chicken/cambodia/67f1/2008_CLADE1.1.1'		
323	'a/vietnam/cl100/2004_CLADE1'		
728	'a/duck/vietnam/18/2007_CLADE1.1'		
313	'a/open-billed_stork/nakhonsawan/bbd2616f/2005_CLADE1'		
24	'a/thailand/ha20/2005_CLADE1'		
323	'a/vietnam/cl17/2004_CLADE1'		
24	'a/gs/thailand/79/2004_CLADE1'		
24	'a/ck/thailand/9.1/2004_CLADE1'		
24	'a/pigeon/thailand/uttaradit-01/2004_CLADE1'		
24	'a/bird/thailand/3.1/2004_CLADE1'		
454	'a/duck/vietnam/ncvd05/2005_CLADE1'		
323	'a/chicken/vietnam/24/2004_CLADE1'		
323	'a/cambodia/jp52a/2005_CLADE1'		
1022	'a/cambodia/x0810301/2013_CLADE1.1.2'		
24	'a/mallard/vietnam/352/2005_CLADE1'		
853	'a/chicken/cambodia/pv025lc1/2010_CLADE1.1.2'		
24	'a/chicken/thailand/phichit-01/2004_CLADE1'		
728	'a/duck/vietnam/ncvd-6/2007_CLADE1.1'		
812	'a/chicken/cambodia/tlc1/2009_CLADE1.1.1'		
24	'a/chicken/bangkok/thailand/cu-6/04_CLADE1'		
301	'a/chicken/phitsanulok-2-01/2004_CLADE1'		
24	'a/chicken/thailand/nakornsawan-01/2004_CLADE1'		
24	'a/chicken/sukhothai-2-02/2004_CLADE1'		
922	'a/duck/vietnam/oie-3038/2012_CLADE1.1.2'		
454	'a/chicken/vietnam/p78/05_CLADE1'		
24	'a/crested_eagle/belgium/01/2004_CLADE1'		
323	'a/vietnam/cl02/2004_CLADE1'		
783	'a/duck/vietnam/ncvd-365/2009_CLADE1.1.2'		
454	'a/duck/vietnam/ag40-o2/05_CLADE1'		
524	'a/goose/vietnam/264/2004_CLADE1'		
922	'a/duck/cambodia/59w3m1/2013_CLADE1.1.2'		
24	'a/quail/malaysia/6309/2004_CLADE1'		
0	'a/pheasant/shantou/40/2003_CLADE1'		
0	'a/black_headed_gull/hk/12.1/2003_CLADE1'		
501	'a/chicken/thailand/ns-341/2008_CLADE1'		
323	'a/chicken/vietnam/132/2004_CLADE1'		
301	'a/chicken/phetchabun-2-01/2004_CLADE1'		
24	'a/chicken/nakhon_sawan/niah01502/2004_CLADE1'		
0	'a/feral_pigeon/hk/862.7/2002_CLADE1'		
922	'a/chicken/cambodia/x0124310/2013_CLADE1.1.2'		
304	'a/quail/nakhon_pathom/niah7562/2005_CLADE1'		
461	'a/hanoi/30408/2005_CLADE1'		
102	'a/kalji_pheasant/bangkok/thailand/cu-18/04_CLADE1'		
728	'a/muscovy_duck/vietnam/4/2007_CLADE1.1'		
24	'a/chicken/thailand/ch-2/2004_CLADE1'		
24	'a/duck/phetchabun/niah6-2-0040/2004_CLADE1'		
694	'a/duck/vietnam/ncvd-26/2007_CLADE1.1'		
922	'a/duck/cambodia/202w6m1/2013_CLADE1.1.2'		
602	'a/watercock/thailand/cu-334/06_CLADE1'		
815	'a/duck/vietnam/ncvd-371/2009_CLADE1.1.2'		
922	'a/chicken/soc_trang/2/2012_CLADE1.1.2'		
567	'a/chicken/cambodia/013lc2b/2005_CLADE1'		
304	'a/chicken/kalasin/niah3776/2005_CLADE1'		
24	'a/mallard/vietnam/3/2003_CLADE1'		
694	'a/duck/vietnam/ncvd-2/2007_CLADE1.1'		
694	'a/chicken/cambodia/67f8/2008_CLADE1.1'		
323	'a/chicken/vietnam/135/2004_CLADE1'		
24	'a/chicken/kohn_kaen/niah330/2004_CLADE1'		
922	'a/duck/cambodia/261w7m2/2013_CLADE1.1.2'		
783	'a/chicken/vietnam/dt382/2008_CLADE1.1.2'		
24	'a/chicken/vietnam/cm/2004_CLADE1'		
690	'a/duck/vietnam/1/2007_CLADE1.1'		
24	'a/chicken/suphanburi/thailand/cu-1/04_CLADE1'		
922	'a/environment/cambodia/e316w9m3/2013_CLADE1.1.2'		
24	'a/chicken/thailand/tak-01/2004_CLADE1'		
596	'a/duck/vietnam/s640/2005_CLADE1'		
454	'a/duck/viet_nam/18/2005_CLADE1'		
24	'a/chicken/kamphaengphet/niah6-3-0014/2005_CLADE1'		
0	'a/ck/hk/fy157/2003_CLADE1'		
101	'a/viet_nam/3212/2004_CLADE1'		
596	'a/duck/vietnam/258/2004_CLADE1'		
454	'a/duck/vietnam/272/2005_CLADE1'		
812	'a/chicken/vietnam/ncvd-428/2010_CLADE1.1.1'		822
378	'a/quail/thailand/cu-320/06_CLADE1'		
844	'a/chicken/vietnam/ncvd-779/2011_CLADE1.1.1'		
24	'a/chicken/thailand/udonthani-03/2004_CLADE1'		
24	'a/chicken/nakhon_sawan/thailand/cu-39/04_CLADE1'		
24	'a/thailand/wrair1723h/2004_CLADE1'		
922	'a/chicken/cambodia/x0218303/2013_CLADE1.1.2'		
24	'a/duck/phitsanulok-2-02/2004_CLADE1'		
24	'a/chicken/thailand/kamphaengphet-01/2004_CLADE1'		
922	'a/cambodia/x0828324/2013_CLADE1.1.2'		
694	'a/duck/vietnam/ncvd-12/2007_CLADE1.1'		
0	'a/chicken/shantou/3900/2002_CLADE1'		
728	'a/muscovy_duck/vietnam/ncvd-4/2007_CLADE1.1'		
323	'a/chicken/viet_nam/tn-025/2004_CLADE1'		
102	'a/kalij_pheasant/thailand/cu-4/2004_CLADE1'		
728	'a/muscovy_duck/ca_mau/07-04/2007_CLADE1.1'		
910	'a/duck/vietnam/ncvd-1279/2012_CLADE1.1.2'		
812	'a/chicken/cambodia/tlc2/2009_CLADE1.1.1'		
313	'a/open-billed_stork/nakhonsawan/bbd3309m/05_CLADE1'		
812	'a/chicken/vietnam/ncvd-427/2010_CLADE1.1.1'		822
24	'a/duck/thailand/sukhothai-01/2004_CLADE1'		
24	'a/chicken/thailand/kamphaengphet/niah6-3-0008/2005_CLADE1'		
24	'a/chicken/vietnam/c58/04_CLADE1'		
24	'a/duck/nakornsawan-2-01/2004_CLADE1'		
596	'a/quail/vietnam/282/2005_CLADE1'		
24	'a/chicken/kamphaengphet-2-06/2004_CLADE1'		
24	'a/duck/phitsanulok/niah6-5-0001/2007_CLADE1'		
24	'a/chicken/thailand/uttaradit-01/2004_CLADE1'		
323	'a/quail/vietnam/177/2004_CLADE1'		
301	'a/chicken/uthaithani-2-03/2004_CLADE1'		
649	'a/duck/vietnam/ncvd-1/2007_CLADE1'		
24	'a/chicken/nakorn-patom/thailand/cu-k2/2004_CLADE1'		
304	'a/quail/thailand/nakhon_pathom/qa-161/2005_CLADE1'		
301	'a/chicken/phitsanulok-2-02/2004_CLADE1'		
0	'a/tree_sparrow/hk/864/2002_CLADE1'		
24	'a/pigeon/thailand/ku-03/04_CLADE1'		
461	'a/duck/vietnam/5082/2005_CLADE1'		
728	'a/duck/soc_trang/07-25/2007_CLADE1.1'		
323	'a/cambodia/p0322095/2005_CLADE1'		
24	'a/ostrich/samut_prakan/thailand/cu-19/04_CLADE1'		
24	'a/chicken/kamphaengphet-2-02/2004_CLADE1'		
812	'a/chicken/vietnam/3/2010_CLADE1.1.1'		822
24	'a/chicken/thailand/sukhothai-02/2004_CLADE1'		
728	'a/duck/vietnam/2/2007_CLADE1.1'	739	
24	'a/tiger/thailand/vsmu-11-spb/2004_CLADE1'		
0	'a/chicken/yunnan/1215/2002_CLADE1'		
24	'a/chicken/nakornsawan-2-04/2004_CLADE1'		
776	'a/duck/vietnam/ncvd-118/2008_CLADE1.1.1'		
728	'a/duck/vietnam/ca_mau498/2006_CLADE1.1'	739	
0	'a/ck/hk/ssp141/2003_CLADE1'		
812	'a/chicken/vietnam/ncvd-881/2011_CLADE1.1.1'		
24	'a/thailand/4_CLADE1'		
24	'a/viet_nam/1203/2004_CLADE1'		
922	'a/chicken/vietnam/ncvd-1188/2012_CLADE1.1.2'		
0	'a/hk/212/03_CLADE1'		
844	'a/duck/vietnam/oie-0062/2012_CLADE1.1.1'		
649	'a/duck/vietnam/an_giang_680b/2005_CLADE1.1'		
24	'a/chicken/nakornsawan-2-01/2004_CLADE1'		
24	'a/chicken/uttaradit-2-03/2004_CLADE1'		
0	'a/ck/hk/3176.3/2002_CLADE1'		
301	'a/tiger/thailand/cu-t3/2004_CLADE1'		
893	'a/duck/vietnam/oie-3509/2011_CLADE1.1.2'		
596	'a/duck/vietnam/s654/2005_CLADE1'		
24	'a/mallard/vietnam/16/2003_CLADE1'		
922	'a/cambodia/x0125302/2013_CLADE1.1.2'		
24	'a/chicken/laos/7192/2004_CLADE1'		
844	'a/chicken/vietnam/ncvd-876/2011_CLADE1.1.1'		
24	'a/duck/viet_nam/ncvd08/2005_CLADE1'		
922	'a/environment/cambodia/e290w9m1/2013_CLADE1.1.2'		
910	'a/muscovy_duck/vietnam/oie-3312/2011_CLADE1.1.2'		
24	'a/chicken/thailand/kamphaengphet-3-05/2005_CLADE1'		
776	'a/duck/vietnam/ncvd-011/2008_CLADE1.1.1'		
922	'a/muscovy_duck/vietnam/oie-0043/2012_CLADE1.1.2'		
24	'a/open-bill_stork/thailand/vsmu-2-nsn/2004_CLADE1'		
596	'a/wild_bird/vietnam/434/2005_CLADE1'		
922	'a/cambodia/x0123312/2013_CLADE1.1.2'		
24	'a/duck/vietnam/mb2/2007_CLADE1'		
24	'a/crow/bangkok/thailand/cu-4/04_CLADE1'		
24	'a/chicken/thailand/cu-21/2004_CLADE1'		
323	'a/vietnam/cl105/2005_CLADE1'		
24	'a/chicken/thailand/phitsanulok-02/2004_CLADE1'		
501	'a/chicken/nakhonsawan/niah6006587/2008_CLADE1'		
323	'a/chicken/vietnam/925/2004_CLADE1'		407
922	'a/chicken/soc_trang/1/2012_CLADE1.1.2'		
922	'a/cambodia/x0916322/2013_CLADE1.1.2'		
922	'a/cambodia/x0913301/2013_CLADE1.1.2'		
648	'a/cambodia/q0405047/2006_CLADE1'		
24	'a/chicken/ayutthaya/thailand/cu-23/04_CLADE1'		
24	'a/chicken/viet_nam/9/2005_CLADE1'		
24	'a/duck/thailand/kamphaengphet-01/2004_CLADE1'		
694	'a/duck/vietnam/ncvd-18/2007_CLADE1.1'		
24	'a/chicken/nakhon_sawan/niah01503/2004_CLADE1'		
461	'a/duck/vietnam/tg24/05_CLADE1'		
461	'a/vietnam/ut30408iii/2005_CLADE1'		
461	'a/duck/vietnam/n-tb/2005_CLADE1'		
378	'a/chicken/thailand/pc-168/2006_CLADE1'		
323	'a/chicken/viet_nam/33/2004_CLADE1'		
922	'a/environment/cambodia/c1190w38m4/2013_CLADE1.1.2'		
24	'a/chicken/uttaradit-2-01/2004_CLADE1'		
323	'a/viet_nam/jphn30321/2005_CLADE1'		
815	'a/duck/vietnam/7/2010_CLADE1.1.2'		
24	'a/crow/bangkok/thailand/cu-35/04_CLADE1'		
313	'a/open-billed_stork/nakhonsawan/bbd2316f/05_CLADE1'		
776	'a/chicken/vietnam/tv98/2008_CLADE1.1.1'		
323	'a/chicken/vietnam/53/2004_CLADE1'		
24	'a/duck/chonburi/thailand/cu-5/04_CLADE1'		
24	'a/duck/vietnam/48/2004_CLADE1'		
501	'a/chicken/phichit/niah600674/2008_CLADE1'		
596	'a/duck/cambodia/d1kp/2006_CLADE1'		
893	'a/chicken/vietnam/ncvd-878/2011_CLADE1.1.2'		
24	'a/chicken/sukhothai/niah6-3-0005/2005_CLADE1'		
922	'a/duck/soc_trang/8/2012_CLADE1.1.2'		
24	'a/chicken/chachoengsao/thailand/cu-11/04_CLADE1'		
24	'a/vietnam/ut3040/2004_CLADE1'		
24	'a/chicken/vietnam/348/2005_CLADE1'		
301	'a/chicken/uthaithani-2-01/2004_CLADE1'		
524	'a/goose/cambodia/022b/2005_CLADE1'		
304	'a/chicken/ratchaburi/thailand/cu-68/04_CLADE1'		
596	'a/chicken/vietnam/949b/2004_CLADE1'		
24	'a/chicken/kalasin/niah316/2004_CLADE1'		
24	'a/chicken/thailand/phitsanulok-01/2004_CLADE1'		
24	'a/chicken/kamphaengphet/niah6-3-0015/2005_CLADE1'		
922	'a/duck/cambodia/33w2m3/2013_CLADE1.1.2'		
24	'a/open-billed_stork/suphanburi/tsd0912f/2004_CLADE1'		
910	'a/duck/vietnam/ncvd-1276/2012_CLADE1.1.2'		
313	'a/open-billed_stork/nakhonsawan/bbd3516m/05_CLADE1'		
922	'a/cambodia/x0502302/2013_CLADE1.1.2'		
844	'a/cambodia/v0606311/2011_CLADE1.1.1'		
24	'a/chicken/kamphaengphet/niah6-3-0013/2005_CLADE1'		
694	'a/duck/vietnam/ncvd-19/2007_CLADE1.1'		
24	'a/vietnam/1196/2004_CLADE1'		
24	'a/duck/vietnam/ncvd04/2005_CLADE1'		
24	'a/chicken/thailand/sukhothai/niah6-3-0013/2005_CLADE1'		
0	'a/chicken/yunnan/1083/2003_CLADE1'		
304	'a/chicken/angthong/niah101204/2007_CLADE1'		
812	'a/cambodia/v0401301/2011_CLADE1.1.1'		
304	'a/chicken/thailand/nontaburi/ck-162/2005_CLADE1'		
461	'a/duck/vietnam/5004/2005_CLADE1'		
922	'a/chicken/vietnam/ncvd-1189/2012_CLADE1.1.2'		
24	'a/chicken/thailand/icrc-v143/2007_CLADE1'		
24	'a/chicken/sukhothai-2-01/2004_CLADE1'		
0	'a/eg/hk/757.3/02_CLADE1'		
323	'a/ck/viet_nam/35/2004_CLADE1'		
922	'a/environment/cambodia/e73w3m3/2013_CLADE1.1.2'		
728	'a/duck/vietnam/ncvd-16/2007_CLADE1.1'		
24	'a/muscovy_duck/thailand/tak-01/2004_CLADE1'		
301	'a/chicken/phitsanulok-2-04/2004_CLADE1'		
649	'a/duck/vietnam/1771/2005_CLADE1'		
454	'a/chicken/vietnam/ncvd10/2005_CLADE1'		
24	'a/chicken/kamphaengphet-2-05/2004_CLADE1'		
24	'a/duck/viet_nam/ncvd07/2005_CLADE1'		
812	'a/duck/vietnam/ncvd-430/2010_CLADE1.1.1'		822
323	'a/vietnam/cl119/2005_CLADE1'		
694	'a/duck/cambodia/d1pv/2006_CLADE1.1'		
910	'a/chicken/vietnam/ncvd-1277/2012_CLADE1.1.2'		
0	'a/grey_heron/hk/861.1/2002_CLADE1'		
24	'a/chicken/thailand/2/04_CLADE1'		
24	'a/chicken/suphanburi/niah7618/2004_CLADE1'		
304	'a/thailand/nk165/2005_CLADE1'		
323	'a/vietnam/cl01/2004_CLADE1'		
