CLUSTER	TAXA	Sensitivity-induced (original cluster-node-id)	Sub-cluster subsumed into parent (original cluster-node-id)
304	'a/duck/thailand/cu-328/07_CLADE1'		
812	'a/chicken/vietnam/ncvd-778/2011_CLADE1.1.1'		
24	'a/chicken/uttaradit-2-02/2004_CLADE1'		
812	'a/chicken/vietnam/5/2010_CLADE1.1.1'		822
313	'a/open-billed_stork/nakhonsawan/bbd2416f/05_CLADE1'		
893	'a/muscovy_duck/vietnam/oie-3314/2011_CLADE1.1.2'		
24	'a/openbill_stork/thailand/vsmu-4-nsn/2004_CLADE1'		
24	'a/openbill_stork/thailand/vsmu-6-bkk/2004_CLADE1'		
728	'a/duck/bac_lieu/07-06/2007_CLADE1.1'		
690	'a/duck/vietnam/8/2007_CLADE1.1'		
235	'a/chicken/thailand/kamphaengphet-3-01/2005_CLADE1'		
602	'a/quail/thailand/cu-332/06_CLADE1'		
24	'a/green_peafowl/thailand/vsmu-3-cbi/2005_CLADE1'		
728	'a/duck/vietnam/34/2007_CLADE1.1'		
101	'a/vietnam/ut3047iii/2004_CLADE1'		
378	'a/duck/thailand/ts04/2006_CLADE1'		
0	'a/hong_kong/213-dkpass/2003_CLADE1'		
24	'a/chicken/vietnam/32/2004_CLADE1'		
922	'a/chicken/cambodia/w0530390/2012_CLADE1.1.2'		
24	'a/pigeon/thailand/vsmu-11-kri/2005_CLADE1'		
323	'a/chicken/vietnam/890/2004_CLADE1'		407
24	'a/chicken/thailand/sukhothai-01/2004_CLADE1'		
928	'a/marabou_stork/cambodia/tm068/2011_CLADE1.1.2'		
24	'a/ostrich/samut_prakan/thailand/cu-31/04_CLADE1'		
323	'a/chicken/viet_nam/dt-171/2004_CLADE1'		
313	'a/open-billed_stork/nakhonsawan/bba2811m/05_CLADE1'		
649	'a/chicken/vietnam/393/2005_CLADE1'		
596	'a/duck/vietnam/dong_thap_680a/2005_CLADE1'		
815	'a/duck/vietnam/ncvd-368/2009_CLADE1.1.2'		
922	'a/environment/cambodia/e99w4m1/2013_CLADE1.1.2'		
24	'a/openbill_stork/thailand/vsmu-12-bkk/2003_CLADE1'		
24	'a/open-billed_stork/thailand/cu-2/2004_CLADE1'		
24	'a/duck/vietnam/17/2003_CLADE1'		
24	'a/chicken/angthong/niah8334/2004_CLADE1'		
24	'a/india/m777/2007_CLADE1'		
301	'a/chicken/uthaithani-2-04/2004_CLADE1'		
690	'a/duck/bac_lieu/07-09/2007_CLADE1.1'		
1022	'a/cambodia/x0808305/2013_CLADE1.1.2'		
323	'a/chicken/vietnam/dt171/2004_CLADE1'		
1022	'a/cambodia/x0817302/2013_CLADE1.1.2'		
304	'a/chicken/suphanburi/niah108192/2005_CLADE1'		
323	'a/duck/viet_nam/tg-007a/2004_CLADE1'		
24	'a/chicken/malaysia/5744/2004_CLADE1'		
24	'a/duck/vietnam/942b/2004_CLADE1'		
812	'a/muscovy_duck/vietnam/oie-559/2011_CLADE1.1.1'		
524	'a/chicken/cambodia/022lc1b/2005_CLADE1'		
596	'a/duck/vietnam/557/2005_CLADE1'		
596	'a/duck/vietnam/543/2005_CLADE1'		
922	'a/environment/cambodia/e1178w38m3pop661c/2013_CLADE1.1.2'		
602	'a/quail/thailand/cu-330/06_CLADE1'		
304	'a/golden_pheasant/thailand/vsmu-21-spb/2005_CLADE1'		
313	'a/open-billed_stork/nakhonsawan/bbd1621j/05_CLADE1'		
648	'a/duck/vietnam/dong_thap_680h/2005_CLADE1'		
812	'a/chicken/vietnam/ncvd-777/2011_CLADE1.1.1'		
101	'a/hanoi/03/2004_CLADE1'		
323	'a/duck/vietnam/283/2005_CLADE1'		
24	'a/chicken/viet_nam/2/2005_CLADE1'		
928	'a/cambodia/w0112303/2012_CLADE1.1.2'		
323	'a/chicken/vietnam/23/2004_CLADE1'		
24	'a/chicken/thailand/uttaradit-02/2004_CLADE1'		
24	'a/leopard/suphanburi/thailand/leo-1/04_CLADE1'		
24	'a/chicken/thailand/udonthani-02/2004_CLADE1'		
323	'a/viet_nam/dn-33/2004_CLADE1'		
24	'a/chicken/nakornsawan-2-07/2004_CLADE1'		
690	'a/chicken/vietnam/15/2007_CLADE1.1'		
753	'a/muscovy_duck/vietnam/ncvd-11/2007_CLADE1.1'		
910	'a/cambodia/v0203306/2011_CLADE1.1.2'		
24	'a/thailand/rpfeha/2005_CLADE1'		
812	'a/chicken/vietnam/ncvd-776/2011_CLADE1.1.1'		
24	'a/duck/uthaithani/niah6-3-0008/2005_CLADE1'		
323	'a/chicken/viet_nam/dn-045/2004_CLADE1'		
323	'a/chicken/vietnam/134/2004_CLADE1'		
844	'a/duck/vietnam/ncvd-1280/2012_CLADE1.1.1'		
812	'a/chicken/vietnam/ncvd-429/2010_CLADE1.1.1'		822
304	'a/duck/angthong/niah8246/2004_CLADE1'		
812	'a/chicken/vietnam/ncvd-879/2011_CLADE1.1.1'		
24	'a/chicken/thailand/udonthani-01/2004_CLADE1'		
922	'a/environment/cambodia/e1178w38m3pop661g/2013_CLADE1.1.2'		
922	'a/duck/cambodia/191w5m4/2013_CLADE1.1.2'		
0	'a/ck/hk/nt93/2003_CLADE1'		
928	'a/chicken/cambodia/089lc3/2011_CLADE1.1.2'		
910	'a/duck/vietnam/oie-3002/2011_CLADE1.1.2'		
323	'a/vietnam/cl20/2004_CLADE1'		
690	'a/chicken/cambodia/lc/2006_CLADE1.1'		
24	'a/duck/vietnam/942a/2004_CLADE1'		
0	'a/chicken/shantou/4059/2002_CLADE1'		
313	'a/open-billed_stork/nakhonsawan/bba3011m/2005_CLADE1'		
301	'a/tree_sparrow/thailand/vsmu-16-rbr/2005_CLADE1'		
812	'a/muscovy_duck/vietnam/ncvd-426/2009_CLADE1.1.1'		822
101	'a/chicken/vietnam/28/2003_CLADE1'		
24	'a/clouded_leopard/chonburi/ai-1216a/2004_CLADE1'		
928	'a/duck/cambodia/072d6/2011_CLADE1.1.2'		
776	'a/cambodia/s1211394/2008_CLADE1.1.1'		
24	'a/duck/nakhon_pathom/thailand/cu-71/04_CLADE1'		
893	'a/environment/cambodia/c57w/2011_CLADE1.1.2'		
649	'a/chicken/vietnam/long_an_636/2005_CLADE1'		
101	'a/chicken/vietnam/27/2003_CLADE1'		
24	'a/chicken/vietnam/5/2003_CLADE1'		
24	'a/chicken/phitsanulok-2-03/2004_CLADE1'		
922	'a/duck/cambodia/250w7m1/2013_CLADE1.1.2'		
783	'a/chicken/vietnam/ncvd-425/2009_CLADE1.1.2'		
24	'a/chicken/viet_nam/1/2004_CLADE1'		
24	'a/duck/thailand/cu-2/2004_CLADE1'		
24	'a/chicken/samutprakan/niah6604/2004_CLADE1'		
24	'a/mallard/vietnam/347/2005_CLADE1'		
24	'a/chicken/nakornsawan-2-05/2004_CLADE1'		
24	'a/duck/vietnam/219/2004_CLADE1'		
893	'a/chicken/cambodia/008lc1/2011_CLADE1.1.2'		
24	'a/duck/kamphaengphet/niah6-2-0043/2004_CLADE1'		
304	'a/chicken/thailand/pc-170/2006_CLADE1'		
235	'a/chicken/thailand/kamphaengphet/niah6-3-0006/2005_CLADE1'		
24	'a/chicken/nonthaburi/niah2879/2004_CLADE1'		
922	'a/chicken/cambodia/x0305302/2013_CLADE1.1.2'		
24	'a/chicken/thailand/phetchabun-02/2004_CLADE1'		
922	'a/chicken/vietnam/ncvd-1148/2011_CLADE1.1.2'		
922	'a/cambodia/x0123311/2013_CLADE1.1.2'		
301	'a/tiger/thailand/cu-t6/04_CLADE1'		
694	'a/chicken/vietnam/29/2007_CLADE1.1'		
24	'a/chicken/thailand/kamphaengphet/niah6-3-0010/2005_CLADE1'		
304	'a/duck/thailand/cu-329/07_CLADE1'		
313	'a/open-billed_stork/nakhonsawan/bbd1421j/05_CLADE1'		
24	'a/chicken/kamphaengphet-2-03/2004_CLADE1'		
922	'a/duck/cambodia/46w2m4/2013_CLADE1.1.2'		
922	'a/chicken/vietnam/ncvd-1192/2012_CLADE1.1.2'		
301	'a/thailand/nbl1/2006_CLADE1'		
24	'a/chicken/vietnam/p41/05_CLADE1'		
24	'a/chicken/chachoengsao/thailand/cu-10/04_CLADE1'		
